text,label
"Your invoice is attached. Please review payment details by Friday.",safe
"URGENT: verify your account password at http://paypal-security-login.tk now",phishing
"Limited time offer, click here to claim your prize and free gift card",spam
"Team meeting moved to 2 PM. Agenda is in the shared folder.",safe
"Microsoft security alert: your mailbox will be suspended. Login at http://microsoft.office365.verify-user.click",phishing
"Congratulations winner, you were selected for a cash reward, send your bank details",spam
"Please approve the purchase order in the procurement portal.",safe
"Docusign document pending: open invoice.zip and enable macros",phishing
"Cheap meds available today only, no prescription required",spam
"Reminder: submit your timesheet before noon.",safe
"Your Apple ID has been locked, confirm billing at http://appleid.support-reset.top",phishing
"Earn money from home with this exclusive offer",spam
