label,text
ham,"Hi John, please find attached the quarterly report for your review. Let me know if you have any questions. Best regards, Sarah"
ham,"Meeting reminder: We have the team standup tomorrow at 10 AM in conference room B. See you there."
ham,"Thanks for your email. I will get back to you by end of day with the requested information."
ham,"Hello team, I'm sharing the meeting notes from yesterday. Please review and add any missing items."
ham,"Your monthly newsletter from TechWeekly. This week we cover the latest in cloud computing and devops."
ham,"Hi Mom, just wanted to let you know I arrived safely. Will call you tonight. Love you."
ham,"The presentation slides are ready. I have uploaded them to the shared drive folder."
ham,"Reminder: dentist appointment on Friday at 2 PM. Please confirm or reschedule."
ham,"Congratulations on completing the certification! Well deserved. Let's celebrate at lunch."
ham,"Please review the attached contract and send your feedback by Wednesday. Thank you."
ham,"The project kickoff meeting is scheduled for Monday. Agenda will follow shortly."
ham,"Hi, I have reviewed the document and it looks great. Approved from my side."
ham,"Weekly status update: all tasks on track. No blockers to report this week."
ham,"Thank you for attending our webinar. You can find the recording at the link below."
ham,"Quick question about the budget spreadsheet - which tab has the Q3 figures?"
ham,"Happy birthday! Hope you have a wonderful day with family and friends."
ham,"Lunch tomorrow at the usual place? Let me know what time works for you."
ham,"Please find the invoice attached for the consulting services in October."
ham,"The new office hours are 9 AM to 6 PM starting next Monday. Please plan accordingly."
ham,"I'm out of office until next Tuesday. For urgent matters, contact my colleague Mark."
spam,"CONGRATULATIONS!!! You have WON a FREE iPhone 15! Click here NOW to claim your prize!!!"
spam,"URGENT: You are the lucky winner of $1,000,000! Reply with your bank details to receive the money."
spam,"Buy cheap viagra and cialis online! 90% discount! No prescription needed! Limited offer!"
spam,"Hot singles in your area want to meet you tonight! Click here to chat now FREE!"
spam,"Make money fast! Work from home and earn $5000 per week! No experience required!"
spam,"WINNER!! You have been selected for a free cruise to the Bahamas! Call now to claim!"
spam,"Lose 30 pounds in 30 days! Miracle pill, doctors hate this trick! Order now!"
spam,"FREE FREE FREE!!! Get your free gift card worth $500 by clicking this link immediately!"
spam,"Increase your size by 5 inches guaranteed! Order our pills today, discreet shipping!"
spam,"You have unclaimed lottery winnings of 2.5 million dollars. Send your details to claim."
spam,"Cheap loans approved instantly! No credit check! Get cash today, apply now!"
spam,"Amazing weight loss product! Burn fat while you sleep! 100% guaranteed results!"
spam,"Click here to subscribe to our adult content website. First month FREE!"
spam,"Limited time offer! Replica watches Rolex Omega 80% off! Order while stocks last!"
spam,"Earn bitcoin from home, no investment needed, start earning $1000 daily instantly."
spam,"Buy followers, likes, and views for cheap! Boost your social media presence today!"
spam,"Free trial of our weight loss supplement! Just pay shipping! Cancel anytime."
spam,"Get rich quick with our secret stock trading system! 1000 percent returns guaranteed!"
spam,"You qualified for a free vacation package! Just attend our short presentation."
spam,"Cheap medications online without prescription. Save 90 percent. Worldwide shipping."
phishing,"URGENT: Your PayPal account has been suspended. Click here to verify your identity immediately: http://paypa1-verify.tk/login"
phishing,"Dear customer, your bank account will be closed in 24 hours. Confirm your details here: http://secure-bankofamerica.xyz"
phishing,"Apple ID locked due to suspicious activity. Verify now: http://appleid-support.ru/unlock or lose access permanently."
phishing,"Amazon: Your recent order cannot be processed. Update your payment information at http://amaz0n-billing.co immediately."
phishing,"Microsoft alert: Unusual sign-in detected. Click to secure account: http://login-microsoft365.tk verify within 12 hours."
phishing,"Netflix: We could not validate your billing details. Please update here: http://netflix-account-update.ml or service will be cancelled."
phishing,"Your package delivery failed. Reschedule by entering your details: http://dhl-tracking-update.gq within 24 hours."
phishing,"IRS Notice: You have unpaid taxes. Pay immediately to avoid arrest. Click http://irs-gov-payment.tk for secure payment."
phishing,"Dear user, your email storage is full. Verify your account here to avoid losing emails: http://webmail-verify.xyz"
phishing,"Wells Fargo security alert: Login attempt from new device. Confirm identity at http://wellsfargo-secure.tk now."
phishing,"Your DocuSign document is awaiting signature. View document: http://docusign-secure-view.co please sign within 24h."
phishing,"Office365 password expires today. Reset now to avoid account lockout: http://office365-passwordreset.tk urgent action required."
phishing,"Chase bank: We detected fraud on your account. Verify transactions immediately: http://chase-fraud-alert.xyz"
phishing,"LinkedIn: 3 new messages waiting. Login here to read: http://linkedin-mail-secure.tk before they expire."
phishing,"Your Google account will be deleted in 48 hours. Confirm ownership: http://google-account-confirm.gq immediately."
phishing,"Bank of America: Suspicious transfer of $4,500 detected. Cancel here: http://bofa-cancel-transfer.tk within 1 hour."
phishing,"FedEx delivery on hold. Pay customs fee of $2.99 here: http://fedex-customs-pay.ml to receive package."
phishing,"Your iCloud has been hacked! Secure your account immediately at http://icloud-security-check.xyz before data is leaked."
phishing,"HMRC tax refund of 348 GBP pending. Submit bank details: http://hmrc-refund-uk.tk to receive payment."
phishing,"Dropbox: Someone shared a confidential file with you. View at http://dropbox-shared-file.tk login required."
